,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,2.0,2.0,1.0073999574320553,2.0,2.0,1.0073971230468792,2.0,2.0,2.0,1.007394010094656,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0074103052402585,1.0074147739895785,1.0074206811472552,1.0074251705889903,1.0074280983373198,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0
1,2.0147840836320854,2.0147959487587204,2.014804843552813,2.0148048675212267,2.01480484888156,2.014799174755571,2.0147944309694426,2.0147870641753207,2.0147752091571145,2.01479294882159,2.0148018330899995,2.014748516366959,2.0147028704561096,3.0,2.0147852722347697,2.0148246269273318,2.0148246536032275,2.014833530169176,2.014816663433763,2.014825539267393,2.01483447680843,2.0148462911798264,2.014855270105889,2.014861125630325,2.014873477660805,3.0,3.0,2.014902792094526,2.014931661663598,4.0,2.014992650570586,2.0150201943648964,2.0150514888489153,2.015064836194067,2.0150527315085696,2.015032185465239,5.0,2.0149325438996017
2,3.022183518252062,3.0222013160264396,3.022214658280868,3.0222146942336585,3.0222146662740252,3.022206155044669,3.022199039331723,3.022187989088124,3.0221702064764613,3.0221968160993984,3.022210142565227,3.022130167101301,3.0220616979102415,3.0221301750662746,3.022185301164546,3.022244333483411,3.022244373497444,3.0222576884095256,3.022232388186394,3.022245701999994,3.0222591083751427,3.0222768300163003,3.0222902984692817,3.0222990817975997,3.0223176099312075,3.0222323775211506,3.022304902487239,3.022361581790371,3.0224048863493937,4.0,3.022496370143829,3.022537686031276,3.022584627979973,3.022604649092671,3.0225864919782963,3.0225556727671097,5.0,3.0224062097096764
3,4.029587881299458,4.029611611777858,4.029629401534812,4.029629449472094,4.029629412192406,4.0296180638327685,4.029608576170503,4.029593842442483,4.029570132181133,4.029605611846676,4.0296233805520645,4.0295167460943535,4.02942545340657,4.029516756714369,4.029590258527379,4.029668968659218,4.0296690220115154,4.029686775311835,4.029653041520981,4.029670793356652,4.029688668608306,4.029712297575264,4.029730255597753,4.0297419667577286,4.029766671053054,4.029653027300589,4.029749727714061,4.029825300476708,4.029883040162618,4.029940023267101,4.0300050191337915,4.030060107245023,4.0301226968068375,4.030149391750394,4.030125182149725,4.030084089673226,5.0,4.029884804651365
4,5.036997172692864,5.037026835931564,5.037049073233235,5.03704913315512,5.037049086555291,5.037034901038457,5.037023041404372,5.03700462415699,5.036974986189721,5.037019335982013,5.037041546969101,5.0369082532647145,5.0367941368636995,5.036908266539797,5.03700014424186,5.0370985323733395,5.037098599064028,5.037120790794688,5.03707862335611,5.037100813255949,5.037123157426502,5.037152693775298,5.037175141409886,5.0371897804292916,5.037220660944922,5.037078605580534,5.037199481670722,5.037293948072109,5.037366123021842,5.037437352240302,5.037518597459032,5.037587457924694,5.03766569524806,5.03769906408578,5.037668801941405,5.03761743610214,5.037552610993666,5.037368328643237
5,6.044411392350874,6.044446988406151,6.044473673294727,6.044473745201331,6.0444736892812685,6.044456666580328,6.0444424349519235,6.044420334150236,6.04438476842082,6.044437988424002,6.044464641734929,6.044304688530984,6.044167748200238,6.044304704461158,6.044414958226583,6.044533024544363,6.044533104573569,6.044559734776673,6.044509133610369,6.044535761616478,6.044562574748318,6.044598018534988,6.044624955824262,6.04464252273087,6.0446795795253925,6.044509112279579,6.044654164275805,6.044767524495151,6.044854134845633,6.044939610313207,6.045037105038111,6.045119737988843,6.045213623222192,6.045253666017383,6.045217351271887,6.0451557119724075,6.045077921473269,6.044856781603863
6,7.051830540192079,7.051872069120207,7.051903201637875,7.05190328552931,7.05190322028893,7.051883360376969,7.051866756731745,7.051840972340815,7.051799478793027,7.051861569091232,7.051892664768133,7.051706051811755,7.051546287334786,7.0517060703970476,7.051834700400138,7.051972445090873,7.051972538458721,7.05200360717637,7.051944572202346,7.0519756383568195,7.052006920492339,7.052048271772916,7.052079698759459,7.052100193581044,7.052143426713042,7.051944547316304,7.052113775447887,7.052246029664405,7.052347075552563,7.05244679740438,7.052560541789589,7.052656947356027,7.052766480647781,7.052813197463748,7.052770830059723,7.052698917202582,7.0526081611897995,7.052350163451807
7,8.059254616135064,8.059302077992315,8.059337658181258,8.05933775405764,8.059337679496853,8.059314982346962,8.05929600666242,8.059266538647309,8.059219117224922,8.059290077902284,8.059325615987296,8.059112343025621,8.058929754185943,8.059112364266056,8.05925937068111,8.059416793931446,8.059416900638066,8.059452407912357,8.059384939050618,8.05942044339555,8.059456194577137,8.059503453407656,8.059539370134052,8.059562792898383,8.05961220242644,8.059384910609293,8.059578315105536,8.059729463498437,8.059844945061188,8.059958913432373,8.060088907632016,8.060199085944792,8.060324267443372,8.060377658343418,8.060329238223451,8.060247051711206,8.060143330061804,8.059848474105637
8,9.066683620098418,9.066737014941067,9.066777042843471,9.066777150704912,9.066777066823626,9.066751532408894,9.06673018466254,9.066697032988309,9.066643683635098,9.066723514775754,9.06676349531101,9.066523562091179,9.066318148672313,9.066523585986783,9.066688968988087,9.06686607098467,9.066866191030185,9.066906136903215,9.066830234073771,9.06687017665126,9.0669103969213,9.066963563357787,9.067003969866622,9.06703032060147,9.067085906584163,9.066830202077128,9.06704778316734,9.06721782591582,9.067347743290082,9.067475958315757,9.067622202483953,9.067746153673694,9.067886983527513,9.067947048574936,9.067892575681626,9.067800115416834,9.06768342800784,9.067351713483914
9,10.074117552000725,10.074176879885043,10.07422135554309,10.074221475389704,10.07422138218783,10.07419301048135,10.074169290650685,10.074132455282397,10.074073177942143,10.074161879630221,10.074206302657855,10.073939708927018,10.07371147071249,10.073939735477813,10.074123495239657,10.074320276169122,10.07432040955366,10.074364794067527,10.074280457190385,10.074324838042523,10.074369527443398,10.074428601541886,10.074473497875742,10.074502776608872,10.074564539104783,10.074280421638393,10.074522179551861,10.074711116835122,10.074855470157804,10.074997931973083,10.075160426263947,10.075298150461276,10.07545462881875,10.075521368076847,10.075460842352788,10.075358108238014,10.075228454946457,10.074859881505207
